codigo_dane_departamento,departamento,codigo_dane_municipio,municipio,grupo_cultivo,subgrupo,cultivo,desagregacion_cultivo,año,periodo,area_sembrada,area_cosechada,produccion,rendimiento,ciclo_cultivo
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2007,2007,80.0,80.0,800.0,10.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2008,2008,80.0,80.0,720.0,9.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2009,2009,80.0,80.0,800.0,10.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2010,2010,80.0,80.0,480.0,6.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2011,2011,80.0,80.0,560.0,7.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2012,2012,80.0,80.0,800.0,10.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2013,2013,80.0,80.0,880.0,11.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2014,2014,80.0,80.0,880.0,11.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2015,2015,80.0,80.0,800.0,10.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2016,2016,80.0,80.0,960.0,12.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2017,2017,80.0,80.0,1200.0,15.0,Permanente
13,Bolívar,13006,Achí,Frutales,Aguacate,Aguacate,Aguacate,2018,2018,80.0,80.0,1200.0,15.0,Permanente
13,Bolívar,13006,Achí,Hortalizas,Ahuyama,Ahuyama,Ahuyama,2016,2016A,15.0,15.0,225.0,15.0,Transitorio
13,Bolívar,13006,Achí,Hortalizas,Ahuyama,Ahuyama,Ahuyama,2016,2016B,50.0,25.0,300.0,12.0,Transitorio
13,Bolívar,13006,Achí,Hortalizas,Ahuyama,Ahuyama,Ahuyama,2017,2017A,20.0,20.0,320.0,16.0,Transitorio
13,Bolívar,13006,Achí,Hortalizas,Ahuyama,Ahuyama,Ahuyama,2017,2017B,50.0,48.0,576.0,12.0,Transitorio
13,Bolívar,13006,Achí,Hortalizas,Ahuyama,Ahuyama,Ahuyama,2018,2018A,60.0,60.0,720.0,12.0,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Riego,2016,2016A,680.0,609.0,2404.0,3.95,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Riego,2016,2016B,387.0,387.0,1503.0,3.89,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Riego,2017,2017A,831.0,725.0,3464.0,4.78,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Riego,2017,2017B,600.0,600.0,2485.0,4.14,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Riego,2018,2018A,355.0,355.0,1597.0,4.5,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2006,2006B,700.0,700.0,1440.0,2.06,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2007,2007A,149.0,149.0,268.0,1.8,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2007,2007B,743.0,743.0,1288.0,1.73,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2008,2008A,382.0,120.0,144.0,1.2,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2008,2008B,610.0,580.0,580.0,1.0,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2009,2009A,480.0,450.0,720.0,1.6,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2009,2009B,860.0,850.0,1275.0,1.5,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2010,2010A,950.0,850.0,1615.0,1.9,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2010,2010B,920.0,620.0,1240.0,2.0,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2011,2011A,1500.0,1500.0,3000.0,2.0,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2011,2011B,1650.0,1650.0,3300.0,2.0,Transitorio
13,Bolívar,13006,Achí,Cereales,Arroz,Arroz,Arroz Secano Manual,2012,2012A,2000.0,2000.0,4000.0,2.0,Transitorio
