Region;Ecosistema;Especie;Abundancia;Cobertura;Investigadores;Altitud;TemperaturaMedia;PrecipitacionAnual
Amazonas;Bosque;Ave;1683;65,6;22;2013,5;27,7;1886
Orinoquía;Humedal;Ave;1545;17,9;7;812,2;13,1;2546
Amazonas;Humedal;Reptil;1623;50,2;13;112,4;24,6;2171
Orinoquía;Sabana;Ave;1333;40,2;35;2488,8;23,6;1733
Amazonas;Bosque;Mamífero;1643;46,5;35;2792,8;25,5;1401
Orinoquía;Humedal;Mamífero;1669;18,8;33;1047,2;30,3;1810
Orinoquía;Bosque;Reptil;1130;42,9;12;1543;22,1;1320
Pacífico;Humedal;Anfibio;1573;50,1;29;546,7;23,4;2171
Andes;NA;Ave;1890;44;19;2676,1;27,5;2044
Orinoquía;Humedal;Anfibio;756;54,7;49;1332,3;25,6;2155
Orinoquía;Sabana;Reptil;1406;33,1;14;1305,9;22,9;1350
Orinoquía;Sabana;Anfibio;1159;14,5;42;561,5;31,2;2494
Amazonas;Bosque;Ave;1266;51,2;47;1954,1;17,8;2510
Amazonas;Humedal;Reptil;1552;50,9;34;2508,4;15,4;2391
Orinoquía;Sabana;Reptil;1705;60,4;37;102,2;28,6;1606
Andes;Sabana;Mamífero;795;22,6;9;2495,3;29,7;1722
Amazonas;Humedal;Anfibio;2401;59,7;38;3351,7;16,8;1483
Amazonas;Humedal;Anfibio;1908;23;10;980,3;34,5;1613
Andes;Humedal;Reptil;1862;35,7;6;2527,7;26,6;1132
Andes;Bosque;Mamífero;2299;17,7;24;2961,8;25,3;2011
Amazonas;Sabana;Mamífero;2505;14,5;34;2885,6;30,1;2018
Pacífico;Bosque;Ave;1222;20,9;48;1307,7;14,1;2535
Orinoquía;Bosque;Anfibio;920;63;NA;3337,8;13,3;2135
Orinoquía;Sabana;Ave;1883;42,2;NA;1695,4;20,2;1156
Andes;Humedal;Reptil;2183;64,7;30;3052,2;26,3;945
Amazonas;Sabana;Reptil;923;34,4;12;2069,7;26,7;1997
NA;Sabana;Anfibio;1310;55,2;22;948,2;28;2425
Pacífico;Bosque;Mamífero;1690;66,9;18;3189,3;31,3;1407
Andes;Humedal;Reptil;781;40,1;47;251,1;18;1248
Pacífico;Sabana;Ave;1058;51,6;29;3176,6;20,6;890
Amazonas;Sabana;Reptil;1581;45,2;25;1154,6;19,6;1600
Pacífico;Bosque;Mamífero;1977;40,9;37;1682,9;20,9;3584
Pacífico;Sabana;Mamífero;1407;65,2;49;3467,9;22,3;1858
Orinoquía;Humedal;Mamífero;1562;48,6;7;963,1;17,8;2273
Orinoquía;Bosque;Ave;1930;56,4;25;1667;27,6;2271
Andes;NA;Anfibio;1676;14,9;10;2549,1;27,3;1692
