Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Área sembrada,Área cosechada,Producción,Rendimiento,Ciclo del cultivo,Estado físico del cultivo,Código del cultivo,Nombre científico del cultivo
13,Bolívar,13006,Achí,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2019,2019,80.00,80.00,400.00,5.00,Permanente,En fresco,2040299,Persea americana
13,Bolívar,13006,Achí,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2020,2020,80.00,80.00,400.00,5.00,Permanente,En fresco,2040299,Persea americana
13,Bolívar,13006,Achí,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2021,2021,80.00,80.00,320.00,4.00,Permanente,En fresco,2040299,Persea americana
13,Bolívar,13006,Achí,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2022,2022,80.00,80.00,320.00,4.00,Permanente,En fresco,2040299,Persea americana
13,Bolívar,13006,Achí,Frutales,Demás frutales,Aguacate,Aguacate demás variedades,2023,2023,80.00,80.00,320.00,4.00,Permanente,En fresco,2040299,Persea americana
13,Bolívar,13006,Achí,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2019,2019A,24.00,24.00,480.00,20.00,Transitorio,En fresco,1050200,Cucurbita maxima
13,Bolívar,13006,Achí,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2019,2019B,60.00,40.00,800.00,20.00,Transitorio,En fresco,1050200,Cucurbita maxima
13,Bolívar,13006,Achí,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2020,2020A,80.00,80.00,400.00,5.00,Transitorio,En fresco,1050200,Cucurbita maxima
13,Bolívar,13006,Achí,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2021,2021A,120.00,120.00,600.00,5.00,Transitorio,En fresco,1050200,Cucurbita maxima
13,Bolívar,13006,Achí,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2022,2022A,120.00,120.00,600.00,5.00,Transitorio,En fresco,1050200,Cucurbita maxima
13,Bolívar,13006,Achí,Hortalizas,Hortalizas de fruto,Ahuyama,Ahuyama,2023,2023A,120.00,120.00,600.00,5.00,Transitorio,En fresco,1050200,Cucurbita maxima
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano manual,2019,2019A,1100.00,1100.00,2310.00,2.10,Transitorio,Paddy o cascara verde,1010102,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz riego,2019,2019A,452.60,452.26,2831.15,6.26,Transitorio,Paddy o cascara verde,1010101,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano mecanizado,2019,2019A,4596.76,4593.36,22848.29,4.97,Transitorio,Paddy o cascara verde,1010103,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz riego,2019,2019B,157.00,157.00,956.13,6.09,Transitorio,Paddy o cascara verde,1010101,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano manual,2019,2019B,1300.00,1300.00,3250.00,2.50,Transitorio,Paddy o cascara verde,1010102,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano mecanizado,2019,2019B,2647.00,2643.00,14467.78,5.47,Transitorio,Paddy o cascara verde,1010103,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano manual,2020,2020A,680.00,680.00,2040.00,3.00,Transitorio,Paddy o cascara verde,1010102,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz riego,2020,2020A,437.00,433.00,2836.15,6.55,Transitorio,Paddy o cascara verde,1010101,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano mecanizado,2020,2020A,5111.00,5065.00,22134.05,4.37,Transitorio,Paddy o cascara verde,1010103,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz riego,2020,2020B,167.00,166.00,1010.94,6.09,Transitorio,Paddy o cascara verde,1010101,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano manual,2020,2020B,630.00,630.00,2268.00,3.60,Transitorio,Paddy o cascara verde,1010102,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano mecanizado,2020,2020B,2954.00,2950.00,16148.30,5.47,Transitorio,Paddy o cascara verde,1010103,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano manual,2021,2021A,670.00,660.00,1980.00,3.00,Transitorio,Paddy o cascara verde,1010102,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz riego,2021,2021A,620.00,620.00,2480.00,4.00,Transitorio,Paddy o cascara verde,1010101,Oryza sativa
13,Bolívar,13006,Achí,Cereales,Cereales,Arroz,Arroz secano mecanizado,2021,2021A,7660.00,7449.00,26071.50,3.50,Transitorio,Paddy o cascara verde,1010103,Oryza sativa
