Departamento,Municipio,Grupo cultivo,Subgrupo,Cultivo,Año,Área sembrada,Área cosechada,Producción,Rendimiento,Ciclo del cultivo
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2007,80.0,80.0,800.0,10.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2008,80.0,80.0,720.0,9.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2009,80.0,80.0,800.0,10.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2010,80.0,80.0,480.0,6.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2011,80.0,80.0,560.0,7.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2012,80.0,80.0,800.0,10.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2013,80.0,80.0,880.0,11.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2014,80.0,80.0,880.0,11.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2015,80.0,80.0,800.0,10.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2016,80.0,80.0,960.0,12.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2017,80.0,80.0,1200.0,15.0,PERMANENTE
BOLÍVAR,ACHI,FRUTALES,AGUACATE,AGUACATE,2018,80.0,80.0,1200.0,15.0,PERMANENTE
BOLÍVAR,ACHI,HORTALIZAS,AHUYAMA,AHUYAMA,2016,15.0,15.0,225.0,15.0,TRANSITORIO
BOLÍVAR,ACHI,HORTALIZAS,AHUYAMA,AHUYAMA,2016,50.0,25.0,300.0,12.0,TRANSITORIO
BOLÍVAR,ACHI,HORTALIZAS,AHUYAMA,AHUYAMA,2017,20.0,20.0,320.0,16.0,TRANSITORIO
