,Codigo depto,Codigo mpio,Departamento,SUBREGION,Municipio,Grupo cultivo,Subgrupo cultivo,Cultivo,Año,Area sembrada,Area cosechada,Produccion,Rendimiento,Ciclo
0,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2007,3400.0,2600.0,31200.0,12.0,PERMANENTE
1,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2007,660.0,600.0,10800.0,18.0,PERMANENTE
2,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2007,80.0,80.0,800.0,10.0,PERMANENTE
3,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2007,18.0,18.0,180.0,10.0,PERMANENTE
4,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2007,10.0,10.0,100.0,10.0,PERMANENTE
5,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2008,3500.0,2700.0,32400.0,12.0,PERMANENTE
6,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2008,700.0,600.0,10800.0,18.0,PERMANENTE
7,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2008,80.0,80.0,720.0,9.0,PERMANENTE
8,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2008,60.0,60.0,900.0,15.0,PERMANENTE
9,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2008,18.0,18.0,198.0,11.0,PERMANENTE
10,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2008,15.0,15.0,150.0,10.0,PERMANENTE
11,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2008,5.0,2.0,12.0,6.0,PERMANENTE
12,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2008,3.0,0.0,0.0,0.0,PERMANENTE
13,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2009,3310.0,3300.0,33000.0,10.0,PERMANENTE
14,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2009,500.0,420.0,5040.0,12.0,PERMANENTE
15,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2009,80.0,80.0,800.0,10.0,PERMANENTE
16,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2009,60.0,60.0,900.0,15.0,PERMANENTE
17,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2009,18.0,18.0,180.0,10.0,PERMANENTE
18,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2009,10.0,10.0,60.0,6.0,PERMANENTE
19,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2009,5.0,2.0,12.0,6.0,PERMANENTE
20,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2009,4.0,3.0,30.0,9.23,PERMANENTE
21,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2010,3310.0,3260.0,32600.0,10.0,PERMANENTE
22,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2010,500.0,100.0,1400.0,14.0,PERMANENTE
23,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2010,80.0,80.0,480.0,6.0,PERMANENTE
24,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2010,60.0,60.0,600.0,10.0,PERMANENTE
25,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2010,18.0,18.0,144.0,8.0,PERMANENTE
26,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2010,10.0,10.0,50.0,5.0,PERMANENTE
27,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2010,5.0,5.0,30.0,6.0,PERMANENTE
28,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2010,6.0,4.0,11.0,3.0,PERMANENTE
29,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2011,3310.0,3260.0,32600.0,10.0,PERMANENTE
30,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2011,500.0,100.0,1400.0,14.0,PERMANENTE
31,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2011,80.0,80.0,560.0,7.0,PERMANENTE
32,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2011,60.0,20.0,120.0,6.0,PERMANENTE
33,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2011,18.0,18.0,180.0,10.0,PERMANENTE
34,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2011,10.0,10.0,100.0,10.0,PERMANENTE
35,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2011,5.0,5.0,30.0,6.0,PERMANENTE
36,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2011,5.0,3.0,8.0,3.0,PERMANENTE
37,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2012,2800.0,2560.0,25600.0,10.0,PERMANENTE
38,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2012,670.0,640.0,7120.0,11.13,PERMANENTE
39,13,13688,BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,SANTA ROSA DEL SUR,FRUTALES,AGUACATE,AGUACATE,2012,115.0,20.0,80.0,4.0,PERMANENTE
40,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2012,80.0,80.0,800.0,10.0,PERMANENTE
41,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2012,60.0,60.0,780.0,13.0,PERMANENTE
42,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2012,20.0,20.0,160.0,8.0,PERMANENTE
43,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2012,18.0,18.0,216.0,12.0,PERMANENTE
44,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2012,8.0,8.0,48.0,6.0,PERMANENTE
45,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2012,5.0,3.0,8.0,3.0,PERMANENTE
46,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2013,3020.0,2040.0,20400.0,10.0,PERMANENTE
47,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2013,640.0,640.0,7680.0,12.0,PERMANENTE
48,13,13688,BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,SANTA ROSA DEL SUR,FRUTALES,AGUACATE,AGUACATE,2013,120.0,20.0,100.0,5.0,PERMANENTE
49,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2013,80.0,80.0,880.0,11.0,PERMANENTE
50,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2013,60.0,60.0,720.0,12.0,PERMANENTE
51,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2013,20.0,20.0,240.0,12.0,PERMANENTE
52,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2013,19.0,18.0,180.0,10.0,PERMANENTE
53,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2013,8.0,8.0,48.0,6.0,PERMANENTE
54,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2013,5.0,5.0,14.0,3.0,PERMANENTE
55,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2014,2788.0,2200.0,22000.0,10.0,PERMANENTE
56,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2014,580.0,580.0,6670.0,11.5,PERMANENTE
57,13,13688,BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,SANTA ROSA DEL SUR,FRUTALES,AGUACATE,AGUACATE,2014,120.0,40.0,200.0,5.0,PERMANENTE
58,13,13006,BOLIVAR,MOJANA BOLIVARENSE,ACHI,FRUTALES,AGUACATE,AGUACATE,2014,80.0,80.0,880.0,11.0,PERMANENTE
59,13,13268,BOLIVAR,LOBA,EL PENON,FRUTALES,AGUACATE,AGUACATE,2014,61.0,60.0,720.0,12.0,PERMANENTE
60,13,13667,BOLIVAR,LOBA,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,2014,20.0,20.0,140.0,7.0,PERMANENTE
61,13,13074,BOLIVAR,LOBA,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,2014,18.0,18.0,180.0,10.0,PERMANENTE
62,13,13673,BOLIVAR,DIQUE BOLIVARENSE,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,2014,3.0,3.0,18.0,6.0,PERMANENTE
63,23,23419,CORDOBA,COSTANERA,LOS CORDOBAS,FRUTALES,AGUACATE,AGUACATE,2014,5.0,5.0,14.0,3.0,PERMANENTE
64,13,13244,BOLIVAR,MONTES DE MARIA,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,2015,2788.0,2388.0,19104.0,8.0,PERMANENTE
65,13,13654,BOLIVAR,MONTES DE MARIA,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,2015,470.0,330.0,2970.0,9.0,PERMANENTE
